cs_week_beg_dt,country,channel_type,l1_topic,sr_cnt,csat_sum,csat_response_cnt,rsltn_cnt,rsltn_response_cnt
2026-02-02,US,Phone,Returns & Refunds,687,641,163,627,465
2026-02-02,US,Chat,Returns & Refunds,578,553,144,506,375
2026-02-02,US,Email,Returns & Refunds,322,311,82,300,202
2026-02-02,US,Phone,Shipping & Delivery,643,643,163,575,434
2026-02-02,US,Chat,Shipping & Delivery,504,519,131,436,329
2026-02-02,US,Email,Shipping & Delivery,279,246,66,255,176
2026-02-02,US,Phone,Payments & Payouts,421,334,84,385,294
2026-02-02,US,Chat,Payments & Payouts,328,307,79,295,214
2026-02-02,US,Email,Payments & Payouts,193,190,50,179,122
2026-02-02,US,Phone,Listing & Selling,411,306,76,367,302
2026-02-02,US,Chat,Listing & Selling,333,248,62,301,246
2026-02-02,US,Email,Listing & Selling,188,185,47,175,130
2026-02-02,US,Phone,Account Access,320,319,80,281,232
2026-02-02,US,Chat,Account Access,263,217,55,237,188
2026-02-02,US,Email,Account Access,146,124,32,129,95
2026-02-02,US,Phone,Buyer & Seller Disputes,244,196,53,220,158
2026-02-02,US,Chat,Buyer & Seller Disputes,190,179,48,172,115
2026-02-02,US,Email,Buyer & Seller Disputes,105,83,23,91,56
2026-02-02,UK,Phone,Returns & Refunds,253,226,59,227,166
2026-02-02,UK,Chat,Returns & Refunds,192,150,39,173,125
2026-02-02,UK,Email,Returns & Refunds,118,112,30,103,69
2026-02-02,UK,Phone,Shipping & Delivery,221,197,50,203,152
2026-02-02,UK,Chat,Shipping & Delivery,180,145,37,166,124
2026-02-02,UK,Email,Shipping & Delivery,96,79,21,88,60
2026-02-02,UK,Phone,Payments & Payouts,167,145,37,152,114
2026-02-02,UK,Chat,Payments & Payouts,121,89,23,113,84
2026-02-02,UK,Email,Payments & Payouts,71,60,16,67,44
2026-02-02,UK,Phone,Listing & Selling,150,152,37,132,105
2026-02-02,UK,Chat,Listing & Selling,123,117,29,107,83
2026-02-02,UK,Email,Listing & Selling,69,58,15,64,48
2026-02-02,UK,Phone,Account Access,118,113,28,102,83
2026-02-02,UK,Chat,Account Access,95,80,20,89,68
2026-02-02,UK,Email,Account Access,57,42,11,51,37
2026-02-02,UK,Phone,Buyer & Seller Disputes,99,83,23,90,62
2026-02-02,UK,Chat,Buyer & Seller Disputes,79,59,16,68,45
2026-02-02,UK,Email,Buyer & Seller Disputes,41,28,8,37,22
